num,cell_width,cell_height,block_width,block_height,width,height,accuracy
1,4,4,1,1,32,40,0.779045204901
2,4,4,1,1,32,40,0.788773388773
3,4,4,1,1,32,40,0.789362600253
4,4,4,1,1,32,40,0.788771778877
5,4,4,1,1,32,40,0.781337951938
6,4,4,1,1,32,40,0.78708994709
7,4,4,1,1,32,40,0.78720269417
8,4,4,1,1,32,40,0.779987439816
9,4,4,1,1,32,40,0.778307756118
10,4,4,1,1,32,40,0.786108751062
11,4,4,2,2,32,40,0.875026980358
12,4,4,2,2,32,40,0.870843166702
13,4,4,2,2,32,40,0.876119402985
14,4,4,2,2,32,40,0.871909633419
15,4,4,2,2,32,40,0.864345225379
16,4,4,2,2,32,40,0.873887240356
17,4,4,2,2,32,40,0.867555185339
18,4,4,2,2,32,40,0.865049751244
19,4,4,2,2,32,40,0.866878980892
20,4,4,2,2,32,40,0.879566694987
21,4,4,3,3,32,40,0.887927395526
22,4,4,3,3,32,40,0.884501689189
23,4,4,3,3,32,40,0.88431372549
24,4,4,3,3,32,40,0.886097509048
25,4,4,3,3,32,40,0.890990225244
26,4,4,3,3,32,40,0.878640776699
27,4,4,3,3,32,40,0.876601901612
28,4,4,3,3,32,40,0.881281407035
29,4,4,3,3,32,40,0.890905163102
30,4,4,3,3,32,40,0.878262685321
31,4,4,4,4,32,40,0.875565123789
32,4,4,4,4,32,40,0.881785024673
33,4,4,4,4,32,40,0.884136212625
34,4,4,4,4,32,40,0.883917264669
35,4,4,4,4,32,40,0.887120418848
36,4,4,4,4,32,40,0.884228187919
37,4,4,4,4,32,40,0.883214824391
38,4,4,4,4,32,40,0.8783301867
39,4,4,4,4,32,40,0.880927512012
40,4,4,4,4,32,40,0.886823626601
41,6,6,1,1,30,42,0.804095419042
42,6,6,1,1,30,42,0.810985797828
43,6,6,1,1,30,42,0.813777122393
44,6,6,1,1,30,42,0.803085493893
45,6,6,1,1,30,42,0.805438448567
46,6,6,1,1,30,42,0.802597955707
47,6,6,1,1,30,42,0.81948608137
48,6,6,1,1,30,42,0.806109185442
49,6,6,1,1,30,42,0.806343906511
50,6,6,1,1,30,42,0.808141962422
51,6,6,2,2,30,42,0.861477296506
52,6,6,2,2,30,42,0.863457148786
53,6,6,2,2,30,42,0.873848789891
54,6,6,2,2,30,42,0.863417695043
55,6,6,2,2,30,42,0.867622259696
56,6,6,2,2,30,42,0.868347937594
57,6,6,2,2,30,42,0.865542676502
58,6,6,2,2,30,42,0.863587769938
59,6,6,2,2,30,42,0.862018425461
60,6,6,2,2,30,42,0.872263549416
61,6,6,3,3,30,42,0.885840894704
62,6,6,3,3,30,42,0.888419273035
63,6,6,3,3,30,42,0.889007243289
64,6,6,3,3,30,42,0.893706588087
65,6,6,3,3,30,42,0.893939393939
66,6,6,3,3,30,42,0.895193732797
67,6,6,3,3,30,42,0.88777946603
68,6,6,3,3,30,42,0.893630573248
69,6,6,3,3,30,42,0.893014474512
70,6,6,3,3,30,42,0.890102827763
71,6,6,4,4,30,42,0.889765458422
72,6,6,4,4,30,42,0.885561497326
73,6,6,4,4,30,42,0.894944053046
74,6,6,4,4,30,42,0.893887945671
75,6,6,4,4,30,42,0.89201471543
76,6,6,4,4,30,42,0.883784928027
77,6,6,4,4,30,42,0.892624500946
78,6,6,4,4,30,42,0.894456289979
79,6,6,4,4,30,42,0.893861892583
80,6,6,4,4,30,42,0.885785226567
81,8,8,1,1,32,40,0.817019492769
82,8,8,1,1,32,40,0.803545051699
83,8,8,1,1,32,40,0.806352459016
